lat,lon,sats,x,y,haccuracy,vaccuracy,height
42.255029955314434,-85.63768518715571,15,0.1041851033044506,0.7896689941010171,462,1006,253.23768969654154
42.25502992194267,-85.63768514394165,15,0.10775123163079149,0.7859407735286136,464,1011,253.2313409962491
42.25502987252913,-85.63768511675171,15,0.10999501033042161,0.7804367908057961,479,1044,253.2268449918287
42.2550298218758,-85.63768508729915,15,0.11242550596677205,0.7747955646366124,498,1086,253.22249064282965
42.255029776281674,-85.63768508757745,15,0.11240254021195883,0.7697229241166841,534,1164,253.22011108560153
42.25502974887064,-85.63768507359224,15,0.11355663262030473,0.7666555077095505,528,1151,253.21336531929018
42.25502971016854,-85.63768503454693,15,0.11677874447783519,0.7623484795977453,545,1188,253.2109955474525
42.25502966606888,-85.63768502905846,15,0.11723166697088414,0.7574438248934752,566,1234,253.209207921002
42.25502963477668,-85.63768499710017,15,0.11986894133946197,0.7539462323423247,555,1210,253.2027468848822
42.25502959837198,-85.6376849961786,15,0.11994499070566109,0.7498946723168184,554,1208,253.2004571853318
42.25502955579317,-85.6376849962167,15,0.11994184740994875,0.7451534405986393,555,1209,253.19701911979865
42.25502953211988,-85.63768496783413,15,0.12228404501308238,0.7425255865106433,543,1183,253.19756483764405
42.25502949040953,-85.63768493965934,15,0.12460909611270188,0.7378820924301849,539,1175,253.19450556229557
42.2550294773819,-85.63768492961661,15,0.12543784615063933,0.7364324558828739,539,1174,253.19375683466197
42.25502948032073,-85.63768493855751,15,0.12470002109432851,0.7367842126233844,490,1068,253.20132933085367
42.25502947957711,-85.63768494036567,15,0.12455080762548808,0.7367053125278371,461,1004,253.20243725502704
42.25502948041702,-85.63768496098415,15,0.12284932251577865,0.7368108626239656,478,1042,253.2061030410025
42.25502948735725,-85.63768496682715,15,0.12236714328924489,0.7375801096152028,480,1047,253.20559822925517
42.2550294892086,-85.63768499358419,15,0.12015908858450011,0.737815303652527,482,1050,253.21443804078277
42.25502949520405,-85.63768500863652,15,0.11891693431048794,0.7385010855989784,464,1010,253.22036145012393
42.25502952639901,-85.63768501175433,15,0.11865964539258997,0.7419932526880746,462,1008,253.2284310169352
42.255029562546625,-85.63768502707273,15,0.11739553410595016,0.7460319725188185,458,998,253.2354234969861
42.255029584454604,-85.6376850265936,15,0.11743507317066798,0.7484651347794252,434,945,253.23529771068624
42.25502961861006,-85.63768502381981,15,0.11766397278054554,0.7522676534423882,408,889,253.23782975120082
42.255029693264966,-85.63768503677346,15,0.11659500657388308,0.7605672311787722,418,912,253.2398518639748
42.25502974491512,-85.6376850885568,15,0.11232172281536078,0.7663077001810934,456,994,253.24076875959028
42.255029808698815,-85.63768511205762,15,0.11038237742211682,0.7734025441335654,493,1075,253.24364771303848
42.25502988349881,-85.63768516025594,15,0.10640493694274004,0.7817162068188633,492,1071,253.24506198472432
42.25502994178382,-85.63768520625005,15,0.1026093934568594,0.7881886343598203,493,1073,253.24446682459885
42.255029994404396,-85.63768525822559,15,0.09832024722685949,0.7940255768540616,490,1067,253.2419956518439
42.2550300485985,-85.63768530212678,15,0.0946974153203132,0.8000289269266623,478,1042,253.2370162869415
42.25503010376757,-85.63768532477684,15,0.09282827863388644,0.806141332970973,510,1110,253.23226256343588
42.25503015291148,-85.63768535174701,15,0.09060263622243844,0.8115755926362722,514,1120,253.22485773309126
42.255030201329596,-85.63768535289582,15,0.09050783301008077,0.8169338795136031,533,1161,253.2188442840586
42.25503024989599,-85.63768535861826,15,0.09003560338762731,0.8223197479373978,511,1113,253.216155675547
42.255030275722255,-85.63768540013959,15,0.08660916423716525,0.8251877820735456,545,1188,253.21591612821626
42.25503029967285,-85.6376854501978,15,0.08247824158167844,0.827844651070903,550,1198,253.21483554985326
42.25503034104288,-85.63768551278507,15,0.07731339019893875,0.8324443347435084,580,1264,253.21609683646508
42.255030349539375,-85.63768555498402,15,0.07383103193220816,0.8333947210941322,564,1229,253.21806568563622
42.25503038202968,-85.63768561391191,15,0.06896816142778942,0.8370181826187669,555,1210,253.22236601390938
42.25503037157386,-85.63768566057122,15,0.06511772366065552,0.8358655976301497,561,1223,253.22502000883676
42.255030400342264,-85.63768565878489,15,0.06526513567548588,0.8390813509099873,557,1213,253.231034427476
42.25503043279446,-85.63768567572495,15,0.06386720086015893,0.8427083465664982,548,1195,253.23765932080877
42.25503045575526,-85.63768568386978,15,0.06319507128871425,0.8452643284327229,552,1203,253.23928986941758
42.255030473152495,-85.63768567109021,15,0.0642496709404613,0.8472072119591534,554,1206,253.24239095824478
42.25503047796448,-85.63768566030917,15,0.06513934783675204,0.8477334148336014,544,1185,253.23990087007704
42.255030506744454,-85.63768565763631,15,0.06535991870405264,0.8509256521526836,531,1158,253.23849423600612
42.255030518634676,-85.63768566009576,15,0.06515696036011973,0.8522442025201515,545,1187,253.2378239474889
42.25503054911662,-85.63768566697455,15,0.06458930511308814,0.8556300994228629,564,1229,253.23779439832822
42.25503056959119,-85.63768565310451,15,0.06573389421255094,0.8579065209150167,554,1207,253.23841198488776
42.255030586017085,-85.63768567605024,15,0.06384035771901386,0.8597313684537418,552,1202,253.2384791538219
42.25503062372758,-85.63768567887583,15,0.06360718305411611,0.8639171775451275,551,1200,253.23753718689278
42.25503068750104,-85.63768568000678,15,0.06351385395472084,0.871002434968143,546,1190,253.2378874555384
42.25503072997082,-85.63768569102635,15,0.06260449292538224,0.8757141421393615,532,1158,253.2361153326646
42.25503077799214,-85.6376857258729,15,0.059728872241365125,0.8810352780505843,539,1175,253.2321744517857
