Estimatedaccuracy,Estverticalaccuracy,PDOP,HDOP,X,Y,Z
0.01,0.04,0.9,0.5,-85.6376864229665,42.2550229157656,251.991689730179
0.01,0.03,0.9,0.5,-85.6376864816832,42.2550228836929,252.008549407799
0.01,0.03,0.9,0.5,-85.6376864858191,42.2550228929578,252.001319308508
0.01,0.03,0.9,0.5,-85.6376864496628,42.2550228836434,252.000822331499
